project_id,deployment_id,placename,longitude,latitude,start_date,end_date,bait_type,bait_description,feature_type,feature_type_methodology,camera_id,camera_name,quiet_period,camera_functioning,sensor_height,height_other,sensor_orientation,orientation_other,plot_treatment,plot_treatment_description,detection_distance,subproject_name,subproject_design,event_name,event_description,event_type,recorded_by
2004409,S03_T14_2023,S03_T14,151.7398167,-32.24246667,2023-07-24 00:00:00,2023-07-27 00:00:00,Other,Universal mammal bait,None,,2085484,S03_T14,0,Camera Functioning,Knee height,,Parallel,,,,,Site_03,,,,,
2004409,S02_T02_2023,S02_T02,151.7393117,-32.24083333,2023-07-24 00:00:00,2023-07-27 00:00:00,Other,Universal mammal bait,None,,2085469,S02_T02,0,Camera Functioning,Knee height,,Parallel,,,,,Site_02,,,,,
2004409,S01_T08_2023,S01_T08,151.7343167,-32.23871667,2023-07-24 00:00:00,2023-07-27 00:00:00,Other,Universal mammal bait,None,,2085460,S01_T08,0,Camera Functioning,Knee height,,Parallel,,,,,Site_01,,,,,
2004409,S03_T24_2023,S03_T24,151.7406167,-32.24191667,2023-07-24 00:00:00,2023-07-27 00:00:00,Other,Universal mammal bait,None,,2085489,S03_T24,0,Camera Functioning,Knee height,,Parallel,,,,,Site_03,,,,,
2004409,S05_T04_2023,S05_T04,151.751105,-32.24666667,2023-07-24 00:00:00,2023-07-27 00:00:00,Other,Universal mammal bait,None,,2085503,S05_T04,0,Camera Functioning,Knee height,,Parallel,,,,,Site_05,,,,,
2004409,S04_T24_2023,S04_T24,151.7454,-32.2445,2023-07-24 00:00:00,2023-07-27 00:00:00,Other,Universal mammal bait,None,,2085501,S04_T24,0,Camera Functioning,Knee height,,Parallel,,,,,Site_04,,,,,
2004409,S02_T24_2023,S02_T24,151.7400333,-32.24046667,2023-07-24 00:00:00,2023-07-27 00:00:00,Other,Universal mammal bait,None,,2085477,S02_T24,0,Camera Functioning,Knee height,,Parallel,,,,,Site_02,,,,,
2004409,S03_T08_2023,S03_T08,151.7402583,-32.24302333,2023-07-24 00:00:00,2023-07-27 00:00:00,Other,Universal mammal bait,None,,2085481,S03_T08,0,Camera Functioning,Knee height,,Parallel,,,,,Site_03,,,,,
2004409,S02_T20_2023,S02_T20,151.73935,-32.24015,2023-07-24 00:00:00,2023-07-27 00:00:00,Other,Universal mammal bait,None,,2085475,S02_T20,0,Camera Functioning,Knee height,,Parallel,,,,,Site_02,,,,,
2004409,S02_T12_2023,S02_T12,151.7380767,-32.24136833,2023-07-24 00:00:00,2023-07-27 00:00:00,Other,Universal mammal bait,None,,2085472,S02_T12,0,Camera Functioning,Knee height,,Parallel,,,,,Site_02,,,,,
2004409,S05_T12_2023,S05_T12,151.7517167,-32.24657667,2023-07-24 00:00:00,2023-07-27 00:00:00,Other,Universal mammal bait,None,,2085507,S05_T12,0,Camera Functioning,Knee height,,Parallel,,,,,Site_05,,,,,
